,mobility,m_smoothed,m_norm,sociality,sociality75pc,shifted_sociality,shifted_sociality75pc
2020-01-01,132326.20833333334,,,1.0,1.0,1.0,1.0
2020-01-02,171437.75,,,,,,
2020-01-03,183446.66666666666,,,,,,
2020-01-04,169944.29166666666,167353.55952380953,0.7706406382124351,,,,
2020-01-05,153528.04166666666,180159.65476190476,0.8296109847970913,,,,
2020-01-06,145146.5,187898.15476190476,0.8652457367305181,,,,
2020-01-07,215645.45833333334,195286.15476190476,0.8992664832943428,,,,
2020-01-08,221968.875,200036.5833333333,0.9211415680937638,,,,
2020-01-09,225607.25,200600.94642857142,0.9237403842595828,,,,
2020-01-10,235162.66666666666,211911.32142857142,0.9758231402716049,,,,
2020-01-11,203197.29166666666,213704.47023809524,0.9840803494215823,,,,
2020-01-12,157478.58333333334,214967.27976190476,0.989895417473546,,,,
2020-01-13,224319.125,215742.7142857143,0.9934661891859667,,,,
2020-01-14,228197.5,215752.4642857143,0.9935110866249215,,,,
2020-01-15,230808.54166666666,215214.2380952381,0.9910326273910012,,,,
2020-01-16,231035.29166666666,214973.79166666666,0.9899254039193436,,,,
2020-01-17,235230.91666666666,214520.5595238095,0.9878383308458836,,,,
2020-01-18,199429.70833333334,213996.3869047619,0.9854245864186618,,,,
2020-01-19,155795.45833333334,213505.375,0.9831635426217309,,,,
2020-01-20,221146.5,213501.72619047618,0.9831467403445152,,,,
2020-01-21,224528.29166666666,214076.3333333333,0.9857927289721419,,,,
2020-01-22,227371.45833333334,214305.5357142857,0.986848175116458,,,,
2020-01-23,231009.75,216624.26785714287,0.9975256248432497,,,,
2020-01-24,239253.16666666666,216074.84523809524,0.9949956075612989,,,,
2020-01-25,201034.125,215990.64285714287,0.9946078669193862,,,,
2020-01-26,172026.58333333334,215747.05952380953,0.9934861984231077,,,,
2020-01-27,217300.54166666666,214883.89880952382,0.9895114593997504,,,,
2020-01-28,223938.875,213992.5892857143,0.9854070988935989,,,,
2020-01-29,225666.375,213552.05952380953,0.9833785185763839,,,,
2020-01-30,224967.625,210655.2916666667,0.9700392921115639,,,,
2020-01-31,233014.0,210726.55952380953,0.9703674710105898,,,,
2020-02-01,197950.41666666666,210611.57142857142,0.9698379662940289,,,,
2020-02-02,151749.20833333334,211014.69047619047,0.9716942753024341,,,,
2020-02-03,217799.41666666666,211442.0119047619,0.9736620330207233,,,,
2020-02-04,223133.95833333334,211918.02976190476,0.9758540312445609,,,,
2020-02-05,228488.20833333334,212513.69642857142,0.9785969961475366,,,,
2020-02-06,227958.875,213423.2857142857,0.9827855324992497,,,,
2020-02-07,236346.125,213689.2142857143,0.9840100978122778,,,,
2020-02-08,202120.08333333334,214152.81547619047,0.9861449189557372,,,,
2020-02-09,158116.33333333334,214491.8392857143,0.987706078011356,,,,
2020-02-10,219660.91666666666,214834.4880952381,0.9892839297045349,,,,
2020-02-11,226379.16666666666,215930.7857142857,0.9943322328252906,,,,
2020-02-12,230861.375,215987.90476190476,0.994595258358996,,,,
2020-02-13,230357.41666666666,215949.6666666667,0.9944191770721553,,,,
2020-02-14,244020.20833333334,216281.44047619047,0.995946950852654,,,,
2020-02-15,202519.91666666666,216651.75,0.9976521764156878,,,,
2020-02-16,157848.66666666666,216655.6547619048,0.997670157319201,,,,
2020-02-17,221983.33333333334,217161.60714285713,1.0,,,,
2020-02-18,228971.33333333334,216638.3273809524,0.997590367059862,,,,
2020-02-19,230888.70833333334,216109.07142857142,0.9951532145661764,,,,
2020-02-20,233899.08333333334,215368.79166666666,0.9917443258052004,,,,
2020-02-21,240357.25,212571.55357142858,0.9788634205105645,,,,
2020-02-22,198815.125,208913.3392857143,0.9620178356309694,,,,
2020-02-23,152666.70833333334,204907.9226190476,0.9435734304740682,,,,
2020-02-24,202402.66666666666,200842.39880952382,0.9248522400066881,1.0,1.0,1.0,1.0
2020-02-25,203363.83333333334,196953.64285714287,0.9069450417521514,,,,
2020-02-26,202850.79166666666,193464.25,0.8908768568503542,,,,
2020-02-27,205440.41666666666,190553.1369047619,0.877471572493055,,,,
2020-02-28,213135.95833333334,190616.7857142857,0.8777646667022996,,,,
2020-02-29,174389.375,191037.0238095238,0.8796998066230575,,,,
2020-03-01,132288.91666666666,191476.0297619048,0.8817213700023163,,,,
2020-03-02,202848.20833333334,190918.66666666666,0.8791547878952338,1.0,1.0,1.0,1.0
2020-03-03,206305.5,190028.09523809524,0.875053826218405,,,,
2020-03-04,205923.83333333334,188514.67261904763,0.8680847185618568,,,,
2020-03-05,201538.875,187267.86904761902,0.8623433557683478,,,,
2020-03-06,206901.95833333334,182775.33333333334,0.841655832898201,,,,
2020-03-07,163795.41666666666,174162.0773809524,0.8019929474291557,,,,
2020-03-08,123561.29166666667,163054.4523809524,0.7508438279041147,,,,
2020-03-09,171400.45833333334,149310.58333333334,0.687555159025468,,,,
2020-03-10,146012.70833333334,133466.7976190476,0.6145966562646044,,,,
2020-03-11,128170.45833333333,117270.17857142857,0.5400134034478931,,,,
2020-03-12,105331.79166666667,103805.7261904762,0.4780114107471532,0.24,0.24,0.24,0.24
2020-03-13,95995.45833333333,90905.30952380954,0.4186067266669683,,,,
2020-03-14,50419.083333333336,80692.6726190476,0.3715789069748637,,,,
2020-03-15,29310.125,72854.35714285714,0.3354845181953861,,,,
2020-03-16,81097.54166666667,68254.39285714287,0.31430230119932084,,,,
2020-03-17,74524.25,65087.92857142857,0.29972115894597917,,,,
2020-03-18,73302.25,64012.56547619048,0.2947692564923808,,,,
2020-03-19,73132.04166666667,62698.91666666667,0.28872008036586755,,,,
2020-03-20,73830.20833333333,59964.767857142855,0.27612969274857024,,,,
2020-03-21,42891.541666666664,57988.79166666667,0.2670305880934075,,,,
2020-03-22,20114.583333333332,55846.68452380953,0.25716647274152593,,,,
2020-03-23,61958.5,52983.42857142857,0.24398156409191643,,,,
2020-03-24,60692.416666666664,50753.31547619047,0.23371219316314518,0.16,0.16,0.16,0.16
2020-03-25,58307.5,49955.0119047619,0.23003611256155237,,,,
2020-03-26,53089.25,49697.8630952381,0.22885197687151468,,,,
2020-03-27,58219.416666666664,49417.375,0.22756036690910736,,,,
2020-03-28,37303.416666666664,49281.81547619047,0.2269361335301365,,,,
2020-03-29,18314.541666666668,49611.125,0.22845255960628402,,,,
2020-03-30,59995.083333333336,50630.72023809523,0.23314765857663056,,,,
2020-03-31,59743.5,51354.88690476191,0.2364823487007016,,,,
2020-04-01,60612.666666666664,51583.92857142857,0.23753705477734244,,,,
2020-04-02,60226.416666666664,51679.30952380952,0.2379762712375439,,,,
2020-04-03,63288.583333333336,52613.44642857143,0.24227784607414657,,,,
2020-04-04,38906.708333333336,53903.80952380953,0.24821979461751523,,,,
2020-04-05,18982.208333333332,54942.17857142857,0.2530013444562764,,,,
2020-04-06,66534.04166666667,56368.74404761905,0.25957048664931626,,,,
2020-04-07,68776.04166666667,57650.654761904756,0.26547351311495854,,,,
2020-04-08,67881.25,58433.625,0.2690789857783662,,,,
2020-04-09,70212.375,58535.61904761905,0.26954865465290145,,,,
2020-04-10,72261.95833333333,55514.52678571428,0.2556369310215812,,,,
2020-04-11,44387.5,55843.181547619046,0.2571503420072006,,,,
2020-04-12,19696.166666666668,56398.830357142855,0.2597090300590821,,,,
2020-04-13,45386.39583333333,56549.55059523809,0.26040307648873523,,,,
2020-04-14,71076.625,56840.443452380954,0.26174259898062535,,,,
2020-04-15,71770.79166666667,56974.02083333333,0.2623577048582702,,,,
2020-04-16,71267.41666666667,57473.99702380952,0.2646600279855221,,,,
2020-04-17,74298.20833333333,61562.422619047626,0.28348667809660083,,,,
2020-04-18,45322.541666666664,61887.505952380954,0.28498364313388513,,,,
2020-04-19,23196.0,62426.375,0.28746506263850574,,,,
2020-04-20,74005.375,63190.07142857143,0.2909817820007319,,,,
2020-04-21,73352.20833333333,64042.017857142855,0.29490488074631716,,,,
2020-04-22,75542.875,61570.53571428572,0.28352403780923524,,,,
2020-04-23,76613.29166666667,62211.767857142855,0.2864768256030524,,,,
2020-04-24,80261.83333333333,63306.8630952381,0.291519591921202,,,,
2020-04-25,28022.166666666668,64367.416666666664,0.29640329850903774,,,,
2020-04-26,27684.625,65340.59523809523,0.30088465497085637,,,,
2020-04-27,81671.04166666667,66794.79166666667,0.3075810339841818,,,,
2020-04-28,80776.08333333333,65465.60416666667,0.3014603042774541,,,,
2020-04-29,82355.125,69337.06250000001,0.31928784932222143,,,,
2020-04-30,86792.66666666667,69507.29464285714,0.3200717454496117,,,,
2020-05-01,70957.52083333334,75278.44345238096,0.34664710969310497,,,,
2020-05-02,55122.375,80940.47321428571,0.37271999539513445,,,,
2020-05-03,28876.25,86447.8125,0.3980805522549451,,,,
2020-05-04,122069.08333333333,91528.87202380954,0.4214781481313977,,,,
2020-05-05,120410.29166666667,99872.38095238095,0.45989888482765334,0.17,0.17,0.17,0.17
2020-05-06,120906.5,105691.68452380951,0.48669599527453083,,,,
2020-05-07,122360.08333333333,111716.91666666666,0.5144413791024075,,,,
2020-05-08,129362.08333333333,112623.58928571429,0.5186164845963137,,,,
