DATA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,DOMICILIO/STRUTTURA ISOLAMENTO,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-02-01,429.0,100.0,325.0,0.0,649.0,406.0,0.0,0.0,26.0,58.0,0.0,0.0,65.0,0.0,82.0
2020-02-02,439.0,99.0,322.0,0.0,682.0,428.0,0.0,0.0,31.0,57.0,0.0,0.0,66.0,0.0,83.0
2020-02-03,450.0,117.0,367.0,0.0,671.0,432.0,0.0,0.0,24.0,56.0,0.0,0.0,65.0,0.0,86.0
2020-02-04,441.0,124.0,362.0,0.0,669.0,431.0,0.0,0.0,32.0,62.0,0.0,0.0,68.0,0.0,87.0
2020-02-05,449.0,133.0,376.0,0.0,648.0,435.0,0.0,0.0,32.0,57.0,0.0,0.0,65.0,0.0,83.0
2020-02-06,439.0,125.0,366.0,0.0,646.0,423.0,0.0,0.0,30.0,57.0,0.0,0.0,66.0,0.0,83.0
2020-02-07,428.0,112.0,366.0,0.0,635.0,393.0,0.0,0.0,20.0,58.0,0.0,0.0,62.0,0.0,78.0
2020-02-08,408.0,94.0,317.0,0.0,644.0,383.0,0.0,0.0,29.0,61.0,0.0,0.0,67.0,0.0,74.0
2020-02-09,431.0,95.0,318.0,0.0,702.0,404.0,0.0,0.0,37.0,64.0,0.0,0.0,67.0,0.0,80.0
2020-02-10,435.0,110.0,357.0,0.0,692.0,426.0,0.0,0.0,33.0,65.0,0.0,0.0,66.0,0.0,85.0
2020-02-11,438.0,128.0,379.0,0.0,661.0,414.0,0.0,0.0,35.0,61.0,0.0,0.0,67.0,0.0,77.0
2020-02-12,425.0,123.0,382.0,0.0,659.0,423.0,0.0,0.0,31.0,61.0,0.0,0.0,68.0,0.0,89.0
2020-02-13,429.0,117.0,368.0,0.0,646.0,413.0,0.0,0.0,35.0,62.0,0.0,0.0,67.0,0.0,83.0
2020-02-14,405.0,117.0,368.0,0.0,632.0,387.0,0.0,0.0,29.0,67.0,0.0,0.0,67.0,0.0,85.0
