DATA_ENTRATA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-01-01,34.0,5.0,26.0,0.0,51.0,27.0,0.0,11.0,4.0,0.0,0.0,7.0,0.0,12.0
2020-01-02,67.0,25.0,64.0,0.0,87.0,68.0,0.0,15.0,6.0,0.0,0.0,17.0,0.0,22.0
2020-01-03,73.0,19.0,71.0,0.0,85.0,71.0,0.0,13.0,6.0,0.0,0.0,17.0,0.0,18.0
2020-01-04,54.0,4.0,30.0,0.0,72.0,51.0,0.0,14.0,4.0,0.0,0.0,12.0,0.0,16.0
2020-01-05,35.0,2.0,28.0,0.0,66.0,28.0,0.0,16.0,4.0,0.0,0.0,6.0,0.0,11.0
2020-01-06,40.0,12.0,31.0,0.0,54.0,39.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,7.0
2020-01-07,89.0,29.0,114.0,0.0,78.0,76.0,0.0,12.0,12.0,0.0,0.0,16.0,0.0,21.0
2020-01-08,74.0,37.0,119.0,0.0,98.0,80.0,0.0,18.0,11.0,0.0,0.0,23.0,0.0,23.0
2020-01-09,79.0,38.0,125.0,0.0,82.0,68.0,0.0,10.0,9.0,0.0,0.0,15.0,0.0,30.0
2020-01-10,69.0,24.0,104.0,0.0,83.0,62.0,0.0,14.0,4.0,0.0,0.0,21.0,0.0,23.0
2020-01-11,45.0,11.0,45.0,0.0,77.0,49.0,0.0,10.0,5.0,0.0,0.0,7.0,0.0,14.0
2020-01-12,39.0,11.0,31.0,0.0,65.0,37.0,0.0,15.0,7.0,0.0,0.0,6.0,0.0,9.0
2020-01-13,103.0,34.0,126.0,0.0,75.0,93.0,0.0,14.0,11.0,0.0,0.0,21.0,0.0,24.0
2020-01-14,81.0,29.0,113.0,0.0,78.0,72.0,0.0,14.0,6.0,0.0,0.0,13.0,0.0,25.0
2020-01-15,72.0,32.0,84.0,0.0,73.0,75.0,0.0,10.0,10.0,0.0,0.0,11.0,0.0,23.0
2020-01-16,71.0,26.0,107.0,0.0,76.0,82.0,0.0,10.0,6.0,0.0,0.0,20.0,0.0,26.0
2020-01-17,64.0,20.0,107.0,0.0,73.0,57.0,0.0,8.0,5.0,0.0,0.0,12.0,0.0,27.0
2020-01-18,44.0,10.0,40.0,0.0,68.0,46.0,0.0,16.0,6.0,0.0,0.0,13.0,0.0,11.0
2020-01-19,41.0,7.0,29.0,0.0,61.0,37.0,0.0,14.0,2.0,0.0,0.0,5.0,0.0,10.0
2020-01-20,93.0,39.0,134.0,0.0,87.0,74.0,0.0,11.0,11.0,0.0,0.0,18.0,0.0,28.0
2020-01-21,86.0,36.0,98.0,0.0,82.0,76.0,0.0,10.0,7.0,0.0,0.0,16.0,0.0,28.0
2020-01-22,75.0,37.0,110.0,0.0,71.0,79.0,0.0,11.0,12.0,0.0,0.0,18.0,0.0,24.0
2020-01-23,73.0,28.0,101.0,0.0,76.0,61.0,0.0,13.0,7.0,0.0,0.0,17.0,0.0,24.0
2020-01-24,55.0,20.0,105.0,0.0,78.0,60.0,0.0,20.0,4.0,0.0,0.0,22.0,0.0,17.0
2020-01-25,46.0,8.0,28.0,0.0,72.0,44.0,0.0,13.0,7.0,0.0,0.0,10.0,0.0,12.0
2020-01-26,35.0,17.0,36.0,0.0,52.0,29.0,0.0,11.0,8.0,0.0,0.0,3.0,0.0,7.0
2020-01-27,88.0,27.0,136.0,0.0,80.0,86.0,0.0,14.0,11.0,0.0,0.0,18.0,0.0,31.0
2020-01-28,76.0,37.0,113.0,0.0,100.0,79.0,0.0,13.0,9.0,0.0,0.0,19.0,0.0,31.0
2020-01-29,77.0,31.0,118.0,0.0,78.0,71.0,0.0,13.0,4.0,0.0,0.0,23.0,0.0,29.0
2020-01-30,77.0,34.0,112.0,0.0,78.0,81.0,0.0,13.0,12.0,0.0,0.0,16.0,0.0,27.0
2020-01-31,71.0,22.0,113.0,0.0,75.0,66.0,0.0,9.0,8.0,0.0,0.0,18.0,0.0,31.0
2020-02-01,41.0,2.0,33.0,0.0,55.0,49.0,0.0,14.0,6.0,0.0,0.0,8.0,0.0,8.0
2020-02-02,49.0,12.0,31.0,0.0,49.0,38.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,11.0
2020-02-03,103.0,34.0,132.0,0.0,74.0,77.0,0.0,9.0,13.0,0.0,0.0,17.0,0.0,28.0
2020-02-04,72.0,28.0,107.0,0.0,84.0,70.0,0.0,18.0,14.0,0.0,0.0,20.0,0.0,30.0
2020-02-05,86.0,40.0,126.0,0.0,77.0,78.0,0.0,16.0,6.0,0.0,0.0,16.0,0.0,24.0
2020-02-06,76.0,27.0,103.0,0.0,86.0,62.0,0.0,14.0,6.0,0.0,0.0,16.0,0.0,20.0
2020-02-07,69.0,25.0,121.0,0.0,79.0,63.0,0.0,6.0,11.0,0.0,0.0,18.0,0.0,15.0
2020-02-08,35.0,7.0,43.0,0.0,66.0,33.0,0.0,16.0,6.0,0.0,0.0,7.0,0.0,7.0
2020-02-09,36.0,11.0,33.0,0.0,67.0,48.0,0.0,17.0,4.0,0.0,0.0,4.0,0.0,19.0
2020-02-10,86.0,37.0,121.0,0.0,79.0,89.0,0.0,14.0,16.0,0.0,0.0,18.0,0.0,36.0
2020-02-11,78.0,41.0,134.0,0.0,84.0,87.0,0.0,15.0,5.0,0.0,0.0,20.0,0.0,23.0
2020-02-12,69.0,32.0,112.0,0.0,83.0,73.0,0.0,16.0,9.0,0.0,0.0,16.0,0.0,31.0
2020-02-13,71.0,29.0,108.0,0.0,78.0,65.0,0.0,20.0,11.0,0.0,0.0,19.0,0.0,26.0
2020-02-14,56.0,30.0,113.0,0.0,80.0,59.0,0.0,10.0,7.0,0.0,0.0,20.0,0.0,24.0
2020-02-15,48.0,8.0,32.0,0.0,65.0,38.0,0.0,15.0,3.0,0.0,0.0,11.0,0.0,8.0
2020-02-16,38.0,10.0,31.0,0.0,59.0,40.0,0.0,18.0,2.0,0.0,0.0,5.0,0.0,5.0
2020-02-17,78.0,31.0,133.0,0.0,90.0,85.0,0.0,11.0,15.0,0.0,0.0,20.0,0.0,26.0
2020-02-18,84.0,35.0,128.0,0.0,98.0,80.0,0.0,10.0,8.0,0.0,0.0,18.0,0.0,17.0
2020-02-19,82.0,26.0,120.0,0.0,78.0,80.0,0.0,21.0,5.0,0.0,0.0,14.0,0.0,23.0
2020-02-20,77.0,41.0,103.0,0.0,74.0,70.0,0.0,9.0,11.0,0.0,0.0,20.0,0.0,23.0
2020-02-21,67.0,24.0,111.0,0.0,73.0,52.0,0.0,15.0,6.0,0.0,0.0,20.0,0.0,24.0
2020-02-22,35.0,7.0,33.0,0.0,69.0,34.0,0.0,16.0,2.0,0.0,0.0,10.0,0.0,10.0
2020-02-23,31.0,13.0,29.0,0.0,38.0,38.0,0.0,8.0,3.0,0.0,0.0,7.0,0.0,11.0
2020-02-24,77.0,28.0,131.0,0.0,71.0,81.0,0.0,10.0,18.0,0.0,0.0,14.0,0.0,20.0
2020-02-25,70.0,44.0,116.0,0.0,70.0,58.0,0.0,11.0,8.0,0.0,0.0,17.0,0.0,22.0
2020-02-26,73.0,35.0,112.0,0.0,79.0,72.0,0.0,10.0,5.0,0.0,0.0,15.0,0.0,25.0
2020-02-27,67.0,24.0,117.0,0.0,72.0,69.0,0.0,11.0,12.0,0.0,0.0,16.0,0.0,23.0
2020-02-28,52.0,24.0,110.0,0.0,83.0,63.0,0.0,7.0,2.0,0.0,0.0,17.0,0.0,13.0
2020-02-29,42.0,7.0,27.0,0.0,62.0,38.0,0.0,11.0,9.0,0.0,0.0,8.0,0.0,8.0
2020-03-01,23.0,10.0,33.0,0.0,51.0,33.0,0.0,12.0,4.0,0.0,0.0,7.0,0.0,7.0
2020-03-02,76.0,39.0,138.0,0.0,69.0,95.0,0.0,12.0,10.0,0.0,0.0,29.0,0.0,34.0
2020-03-03,81.0,28.0,97.0,0.0,80.0,76.0,0.0,14.0,10.0,0.0,0.0,13.0,0.0,20.0
2020-03-04,84.0,35.0,109.0,0.0,58.0,71.0,0.0,9.0,8.0,0.0,0.0,14.0,3.0,13.0
2020-03-05,67.0,28.0,94.0,0.0,72.0,63.0,0.0,12.0,4.0,0.0,0.0,16.0,2.0,19.0
2020-03-06,50.0,18.0,93.0,0.0,64.0,61.0,0.0,14.0,4.0,0.0,0.0,18.0,2.0,13.0
2020-03-07,35.0,14.0,26.0,0.0,51.0,33.0,8.0,15.0,1.0,25.0,0.0,6.0,7.0,8.0
2020-03-08,33.0,6.0,28.0,0.0,41.0,28.0,8.0,17.0,2.0,14.0,0.0,8.0,7.0,7.0
2020-03-09,53.0,17.0,71.0,0.0,50.0,59.0,6.0,9.0,5.0,17.0,0.0,13.0,13.0,8.0
2020-03-10,54.0,15.0,49.0,6.0,52.0,56.0,5.0,13.0,2.0,20.0,0.0,15.0,13.0,8.0
2020-03-11,73.0,10.0,55.0,1.0,73.0,44.0,16.0,13.0,4.0,23.0,0.0,11.0,18.0,11.0
2020-03-12,49.0,9.0,43.0,5.0,57.0,55.0,29.0,9.0,6.0,17.0,0.0,16.0,7.0,13.0
2020-03-13,53.0,10.0,49.0,3.0,58.0,51.0,42.0,10.0,4.0,23.0,0.0,13.0,7.0,20.0
2020-03-14,40.0,19.0,18.0,5.0,57.0,27.0,25.0,8.0,1.0,33.0,7.0,6.0,8.0,12.0
2020-03-15,32.0,9.0,16.0,1.0,58.0,20.0,36.0,8.0,0.0,40.0,4.0,5.0,11.0,1.0
2020-03-16,64.0,17.0,37.0,3.0,65.0,40.0,33.0,5.0,9.0,41.0,2.0,12.0,14.0,7.0
2020-03-17,52.0,10.0,38.0,12.0,51.0,48.0,36.0,5.0,2.0,48.0,5.0,11.0,18.0,4.0
2020-03-18,53.0,27.0,34.0,9.0,67.0,37.0,31.0,6.0,2.0,45.0,5.0,11.0,17.0,5.0
2020-03-19,53.0,14.0,47.0,6.0,53.0,59.0,109.0,9.0,3.0,35.0,10.0,9.0,14.0,16.0
2020-03-20,44.0,7.0,44.0,23.0,71.0,42.0,33.0,5.0,1.0,31.0,10.0,5.0,13.0,7.0
2020-03-21,34.0,2.0,19.0,12.0,56.0,31.0,45.0,7.0,2.0,27.0,3.0,3.0,13.0,4.0
2020-03-22,27.0,4.0,11.0,6.0,55.0,18.0,41.0,4.0,1.0,24.0,4.0,2.0,13.0,4.0
2020-03-23,50.0,5.0,63.0,7.0,37.0,41.0,65.0,9.0,3.0,26.0,7.0,6.0,10.0,2.0
2020-03-24,51.0,9.0,53.0,8.0,42.0,44.0,59.0,6.0,1.0,29.0,10.0,6.0,12.0,5.0
2020-03-25,57.0,8.0,30.0,4.0,54.0,35.0,61.0,6.0,4.0,27.0,7.0,14.0,15.0,6.0
2020-03-26,50.0,7.0,34.0,34.0,44.0,30.0,36.0,6.0,3.0,30.0,6.0,9.0,14.0,3.0
