DATA_USCITA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-01-01,25.0,2.0,20.0,0.0,11.0,16.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,9.0
2020-01-02,58.0,15.0,47.0,0.0,84.0,56.0,0.0,10.0,12.0,0.0,0.0,15.0,0.0,21.0
2020-01-03,60.0,17.0,61.0,0.0,112.0,63.0,0.0,14.0,6.0,0.0,0.0,18.0,0.0,20.0
2020-01-04,55.0,13.0,65.0,0.0,87.0,46.0,0.0,15.0,6.0,0.0,0.0,9.0,0.0,16.0
2020-01-05,45.0,9.0,31.0,0.0,23.0,22.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,10.0
2020-01-06,32.0,3.0,18.0,0.0,17.0,20.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,7.0
2020-01-07,73.0,11.0,64.0,0.0,85.0,61.0,0.0,16.0,11.0,0.0,0.0,10.0,0.0,16.0
2020-01-08,70.0,18.0,90.0,0.0,118.0,70.0,0.0,20.0,5.0,0.0,0.0,15.0,0.0,24.0
2020-01-09,86.0,35.0,92.0,0.0,93.0,68.0,0.0,16.0,10.0,0.0,0.0,16.0,0.0,22.0
2020-01-10,81.0,25.0,94.0,0.0,115.0,87.0,0.0,10.0,10.0,0.0,0.0,21.0,0.0,28.0
2020-01-11,55.0,24.0,76.0,0.0,63.0,53.0,0.0,14.0,4.0,0.0,0.0,9.0,0.0,17.0
2020-01-12,26.0,8.0,44.0,0.0,12.0,22.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,10.0
2020-01-13,62.0,20.0,89.0,0.0,87.0,81.0,0.0,12.0,12.0,0.0,0.0,20.0,0.0,19.0
2020-01-14,70.0,23.0,95.0,0.0,81.0,64.0,0.0,17.0,8.0,0.0,0.0,14.0,0.0,25.0
2020-01-15,81.0,32.0,99.0,0.0,82.0,67.0,0.0,13.0,9.0,0.0,0.0,16.0,0.0,23.0
2020-01-16,74.0,27.0,114.0,0.0,99.0,84.0,0.0,11.0,6.0,0.0,0.0,15.0,0.0,24.0
2020-01-17,89.0,23.0,104.0,0.0,111.0,84.0,0.0,13.0,11.0,0.0,0.0,13.0,0.0,28.0
2020-01-18,68.0,31.0,74.0,0.0,53.0,59.0,0.0,9.0,5.0,0.0,0.0,11.0,0.0,16.0
2020-01-19,31.0,7.0,36.0,0.0,18.0,22.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,10.0
2020-01-20,71.0,19.0,79.0,0.0,93.0,56.0,0.0,12.0,12.0,0.0,0.0,18.0,0.0,22.0
2020-01-21,62.0,31.0,109.0,0.0,77.0,83.0,0.0,13.0,6.0,0.0,0.0,19.0,0.0,32.0
2020-01-22,71.0,29.0,93.0,0.0,87.0,70.0,0.0,17.0,13.0,0.0,0.0,15.0,0.0,19.0
2020-01-23,69.0,35.0,106.0,0.0,77.0,72.0,0.0,12.0,10.0,0.0,0.0,16.0,0.0,19.0
2020-01-24,84.0,32.0,116.0,0.0,115.0,78.0,0.0,14.0,12.0,0.0,0.0,27.0,0.0,27.0
2020-01-25,64.0,22.0,83.0,0.0,59.0,60.0,0.0,14.0,2.0,0.0,0.0,9.0,0.0,13.0
2020-01-26,21.0,12.0,44.0,0.0,9.0,17.0,0.0,11.0,2.0,0.0,0.0,4.0,0.0,9.0
2020-01-27,59.0,21.0,87.0,0.0,77.0,71.0,0.0,13.0,10.0,0.0,0.0,16.0,0.0,22.0
2020-01-28,64.0,20.0,88.0,0.0,90.0,54.0,0.0,15.0,7.0,0.0,0.0,18.0,0.0,32.0
2020-01-29,74.0,31.0,101.0,0.0,87.0,83.0,0.0,13.0,13.0,0.0,0.0,24.0,0.0,32.0
2020-01-30,86.0,28.0,123.0,0.0,75.0,85.0,0.0,14.0,12.0,0.0,0.0,17.0,0.0,25.0
2020-01-31,88.0,32.0,117.0,0.0,110.0,89.0,0.0,14.0,10.0,0.0,0.0,19.0,0.0,35.0
2020-02-01,58.0,24.0,81.0,0.0,55.0,46.0,0.0,13.0,4.0,0.0,0.0,6.0,0.0,10.0
2020-02-02,39.0,13.0,34.0,0.0,16.0,17.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,10.0
2020-02-03,89.0,17.0,87.0,0.0,85.0,72.0,0.0,16.0,14.0,0.0,0.0,18.0,0.0,20.0
2020-02-04,80.0,20.0,112.0,0.0,86.0,71.0,0.0,9.0,8.0,0.0,0.0,17.0,0.0,30.0
2020-02-05,71.0,31.0,112.0,0.0,98.0,76.0,0.0,17.0,11.0,0.0,0.0,19.0,0.0,27.0
2020-02-06,90.0,35.0,113.0,0.0,88.0,73.0,0.0,16.0,6.0,0.0,0.0,15.0,0.0,22.0
2020-02-07,85.0,38.0,121.0,0.0,90.0,95.0,0.0,16.0,10.0,0.0,0.0,22.0,0.0,23.0
2020-02-08,53.0,25.0,92.0,0.0,56.0,43.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,11.0
2020-02-09,15.0,10.0,32.0,0.0,10.0,27.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,13.0
2020-02-10,82.0,23.0,82.0,0.0,87.0,65.0,0.0,18.0,15.0,0.0,0.0,19.0,0.0,25.0
2020-02-11,73.0,22.0,111.0,0.0,117.0,96.0,0.0,13.0,9.0,0.0,0.0,19.0,0.0,33.0
2020-02-12,80.0,37.0,110.0,0.0,85.0,67.0,0.0,20.0,9.0,0.0,0.0,15.0,0.0,19.0
