data,tempo,Var[CONTAGI-spe],Var[CONTAGI-spe-lisc],Var[CONTAGI (previsione)],Var[CONTAGI (riduzione effetto vaccini)]
01/02/2020,32,,,,
02/02/2020,33,,,,
03/02/2020,34,,,,
04/02/2020,35,,,,
05/02/2020,36,,,,
06/02/2020,37,,,,
07/02/2020,38,,,,
08/02/2020,39,,,,
09/02/2020,40,,,,
10/02/2020,41,,,,
11/02/2020,42,,,,
12/02/2020,43,,,,
13/02/2020,44,,,0,0
14/02/2020,45,,,0,0
15/02/2020,46,,,2.22603E-08,2.22603E-08
16/02/2020,47,,,0.0001620657397,0.0001620657397
17/02/2020,48,,,0.003489992,0.003489992
18/02/2020,49,,,0.01343372,0.01343372
19/02/2020,50,,,0.0248798,0.0248798
20/02/2020,51,,,0.0351899,0.0351899
21/02/2020,52,,,0.0476735,0.0476735
22/02/2020,53,,,0.064107,0.064107
23/02/2020,54,,,0.086017,0.086017
24/02/2020,55,0,0,0.115896,0.115896
25/02/2020,56,0,0,0.158434,0.158434
26/02/2020,57,0,0.333333333333333,0.222562,0.222562
27/02/2020,58,0,0.428571428571429,0.315205,0.315205
28/02/2020,59,0,0.714285714285714,0.44299,0.44299
29/02/2020,60,2,0.857142857142857,0.62046,0.62046
01/03/2020,61,1,2.28571428571429,0.86922,0.86922
02/03/2020,62,2,3.14285714285714,1.21747,1.21747
03/03/2020,63,1,4.14285714285714,1.70511,1.70511
04/03/2020,64,10,5.57142857142857,2.38817,2.38817
05/03/2020,65,6,6.42857142857143,3.34483,3.34483
06/03/2020,66,7,6.85714285714286,4.6847,4.6847
07/03/2020,67,12,10.1428571428571,6.5615,6.5615
08/03/2020,68,7,13,9.1903,9.1903
09/03/2020,69,5,17.4285714285714,12.8721,12.8721
10/03/2020,70,24,25.5714285714286,18.0286,18.0286
11/03/2020,71,30,35.7142857142857,25.2482,25.2482
12/03/2020,72,37,49.5714285714286,35.3533,35.3533
13/03/2020,73,64,55.1428571428571,49.494,49.494
14/03/2020,74,83,62.8571428571429,69.224,69.224
15/03/2020,75,104,72.2857142857143,94.508,94.508
16/03/2020,76,44,76,118.044,118.044
17/03/2020,77,78,87.7142857142857,131.882,131.882
18/03/2020,78,96,82.7142857142857,136.571,136.571
19/03/2020,79,63,81,137.094,137.094
20/03/2020,80,146,82.5714285714286,137.188,137.188
21/03/2020,81,48,96.5714285714286,138.231,138.231
22/03/2020,82,92,93.1428571428571,140.19,140.19
23/03/2020,83,55,102.142857142857,142.59,142.59
24/03/2020,84,176,93.1428571428571,145.05,145.05
25/03/2020,85,72,99.8571428571429,147.45,147.45
26/03/2020,86,126,98.5714285714286,149.74,149.74
27/03/2020,87,83,98.4285714285714,151.46,151.46
28/03/2020,88,95,90.5714285714286,150.65,150.65
29/03/2020,89,83,93.5714285714286,145.84,145.84
30/03/2020,90,54,90.8571428571429,138.08,138.08
31/03/2020,91,121,93.8571428571429,129.34,129.34
01/04/2020,92,93,93.1428571428571,121.69,121.69
02/04/2020,93,107,96.7142857142857,130.89,130.89
03/04/2020,94,104,92.2857142857143,122.91,122.91
04/04/2020,95,90,90.1428571428571,115.59,115.59
05/04/2020,96,108,85.2857142857143,108.72,108.72
06/04/2020,97,23,86.1428571428571,102.24,102.24
07/04/2020,98,106,82.7142857142857,96.1199999999999,96.1199999999999
08/04/2020,99,59,95.5714285714286,90.3299999999999,90.3299999999999
09/04/2020,100,113,90.7142857142857,84.8800000000001,84.8800000000001
10/04/2020,101,80,103.428571428571,79.75,79.75
11/04/2020,102,180,98,74.9299999999998,74.9299999999998
12/04/2020,103,74,100.714285714286,70.4099999999999,70.4099999999999
13/04/2020,104,112,100.857142857143,66.1500000000001,66.1500000000001
14/04/2020,105,68,99.4285714285714,62.1399999999999,62.1399999999999
15/04/2020,106,78,81.1428571428571,58.3800000000001,58.3800000000001
16/04/2020,107,114,81.4285714285714,54.8400000000001,54.8400000000001
17/04/2020,108,70,73.5714285714286,51.5099999999998,51.5099999999998
18/04/2020,109,52,70.8571428571429,48.3700000000003,48.3700000000003
19/04/2020,110,76,63.4285714285714,45.4399999999996,45.4399999999996
20/04/2020,111,57,54.8571428571429,42.6700000000001,42.6700000000001
21/04/2020,112,49,50.4285714285714,40.0700000000006,40.0700000000006
22/04/2020,113,26,48,37.6199999999999,37.6199999999999
