data,tempo_dati,CONTAGI-spe,CONTAGI-spe-lisc,T-spe,H-spe, (RQ+RC)-spe,G-spe,D-spe,Var[CONTAGI-spe],Var[CONTAGI-spe-lisc],Var[T-spe],Var[H-spe],Var[ (RQ+RC)-spe],Var[G-spe],Var[D-spe],  ,t,tempo_sim,C,RT, RH, RQ, RC, GR, GO, D,CONTAGI (previsione),T (previsione),H (previsione),(RQ+RC) (previsione),GR (previsione),D (previsione),Var[CONTAGI (previsione)],Var[T (previsione)],Var[H (previsione)],Var[(RQ+RC) (previsione)],Var[GR (previsione)],Var[D (previsione)]
01/02/2020,32,0,,0,0,,0,0,,,,,,,,,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,33,0,,0,0,,0,0,,,,,,,,,0.0416667,44.0416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
03/02/2020,34,0,,0,0,,0,0,,,,,,,,,0.0833333,44.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
04/02/2020,35,0,0,0,0,,0,0,,,,,,,,,0.125,44.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
05/02/2020,36,0,0,0,0,,0,0,,,,,,,,,0.166667,44.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
06/02/2020,37,0,0,0,0,,0,0,,,,,,,,,0.208333,44.208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
07/02/2020,38,0,0,0,0,,0,0,,,,,,,,,0.25,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
08/02/2020,39,0,0,0,0,,0,0,,,,,,,,,0.291667,44.291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
09/02/2020,40,0,0,0,0,,0,0,,,,,,,,,0.333333,44.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10/02/2020,41,0,0,0,0,,0,0,,,,,,,,,0.375,44.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
