datetime,days,new_positives
01/02/2020,32,0
02/02/2020,33,0
03/02/2020,34,0
04/02/2020,35,0
05/02/2020,36,0
06/02/2020,37,0
07/02/2020,38,0
08/02/2020,39,0
09/02/2020,40,0
10/02/2020,41,0
11/02/2020,42,0
12/02/2020,43,0
13/02/2020,44,0
14/02/2020,45,0
15/02/2020,46,0
16/02/2020,47,0
17/02/2020,48,0
18/02/2020,49,0
19/02/2020,50,0
20/02/2020,51,0
21/02/2020,52,0
22/02/2020,53,0
23/02/2020,54,0
24/02/2020,55,0
25/02/2020,56,0
26/02/2020,57,0
27/02/2020,58,0
28/02/2020,59,0
29/02/2020,60,2
01/03/2020,61,1
02/03/2020,62,2
03/03/2020,63,1
04/03/2020,64,10
05/03/2020,65,6
06/03/2020,66,7
07/03/2020,67,12
08/03/2020,68,7
09/03/2020,69,5
10/03/2020,70,24
11/03/2020,71,30
12/03/2020,72,37
13/03/2020,73,64
14/03/2020,74,83
15/03/2020,75,104
16/03/2020,76,44
17/03/2020,77,78
18/03/2020,78,96
19/03/2020,79,63
20/03/2020,80,146
21/03/2020,81,48
22/03/2020,82,92
23/03/2020,83,55
24/03/2020,84,176
25/03/2020,85,72
26/03/2020,86,126
27/03/2020,87,83
28/03/2020,88,95
29/03/2020,89,83
30/03/2020,90,54
31/03/2020,91,121
01/04/2020,92,93
02/04/2020,93,107
03/04/2020,94,104
04/04/2020,95,90
05/04/2020,96,108
06/04/2020,97,23
07/04/2020,98,106
08/04/2020,99,59
09/04/2020,100,113
10/04/2020,101,80
11/04/2020,102,180
12/04/2020,103,74
13/04/2020,104,112
14/04/2020,105,68
15/04/2020,106,78
16/04/2020,107,114
17/04/2020,108,70
18/04/2020,109,52
19/04/2020,110,76
20/04/2020,111,57
21/04/2020,112,49
22/04/2020,113,26
23/04/2020,114,54
24/04/2020,115,39
25/04/2020,116,35
26/04/2020,117,81
27/04/2020,118,28
28/04/2020,119,36
29/04/2020,120,82
30/04/2020,121,50
01/05/2020,122,64
02/05/2020,123,34
03/05/2020,124,23
04/05/2020,125,26
05/05/2020,126,28
06/05/2020,127,28
07/05/2020,128,36
08/05/2020,129,24
09/05/2020,130,30
10/05/2020,131,12
11/05/2020,132,21
12/05/2020,133,22
13/05/2020,134,15
14/05/2020,135,13
15/05/2020,136,13
16/05/2020,137,12
17/05/2020,138,13
18/05/2020,139,11
19/05/2020,140,6
20/05/2020,141,10
21/05/2020,142,16
22/05/2020,143,16
23/05/2020,144,9
24/05/2020,145,13
25/05/2020,146,3
26/05/2020,147,5
27/05/2020,148,29
28/05/2020,149,8
29/05/2020,150,10
30/05/2020,151,3
31/05/2020,152,8
01/06/2020,153,2
02/06/2020,154,2
03/06/2020,155,1
04/06/2020,156,3
05/06/2020,157,1
06/06/2020,158,3
07/06/2020,159,2
08/06/2020,160,4
09/06/2020,161,9
10/06/2020,162,6
11/06/2020,163,14
12/06/2020,164,13
13/06/2020,165,5
14/06/2020,166,3
15/06/2020,167,1
16/06/2020,168,16
17/06/2020,169,8
18/06/2020,170,11
19/06/2020,171,14
20/06/2020,172,11
21/06/2020,173,7
22/06/2020,174,4
23/06/2020,175,17
24/06/2020,176,64
25/06/2020,177,24
26/06/2020,178,3
27/06/2020,179,9
28/06/2020,180,7
29/06/2020,181,3
30/06/2020,182,13
01/07/2020,183,13
02/07/2020,184,19
03/07/2020,185,13
04/07/2020,186,11
05/07/2020,187,6
06/07/2020,188,6
07/07/2020,189,26
08/07/2020,190,16
09/07/2020,191,39
10/07/2020,192,20
11/07/2020,193,8
12/07/2020,194,3
13/07/2020,195,1
14/07/2020,196,9
15/07/2020,197,15
16/07/2020,198,19
17/07/2020,199,3
18/07/2020,200,7
19/07/2020,201,6
20/07/2020,202,9
21/07/2020,203,22
22/07/2020,204,19
23/07/2020,205,7
24/07/2020,206,7
25/07/2020,207,24
26/07/2020,208,4
27/07/2020,209,1
28/07/2020,210,11
29/07/2020,211,8
30/07/2020,212,8
31/07/2020,213,17
01/08/2020,214,12
02/08/2020,215,14
03/08/2020,216,3
04/08/2020,217,10
05/08/2020,218,5
06/08/2020,219,5
07/08/2020,220,14
08/08/2020,221,22
09/08/2020,222,7
10/08/2020,223,10
11/08/2020,224,12
12/08/2020,225,16
13/08/2020,226,12
14/08/2020,227,9
15/08/2020,228,9
16/08/2020,229,5
17/08/2020,230,4
18/08/2020,231,17
19/08/2020,232,13
20/08/2020,233,16
21/08/2020,234,26
22/08/2020,235,20
23/08/2020,236,12
24/08/2020,237,12
25/08/2020,238,29
26/08/2020,239,14
27/08/2020,240,28
28/08/2020,241,19
29/08/2020,242,17
30/08/2020,243,19
31/08/2020,244,15
01/09/2020,245,18
02/09/2020,246,27
03/09/2020,247,18
04/09/2020,248,14
05/09/2020,249,28
06/09/2020,250,23
07/09/2020,251,12
08/09/2020,252,17
09/09/2020,253,33
10/09/2020,254,27
11/09/2020,255,36
12/09/2020,256,12
13/09/2020,257,16
14/09/2020,258,10
15/09/2020,259,16
16/09/2020,260,18
17/09/2020,261,19
18/09/2020,262,34
19/09/2020,263,16
20/09/2020,264,22
21/09/2020,265,9
22/09/2020,266,33
23/09/2020,267,16
24/09/2020,268,28
25/09/2020,269,19
26/09/2020,270,24
27/09/2020,271,20
28/09/2020,272,7
29/09/2020,273,68
30/09/2020,274,29
01/10/2020,275,34
02/10/2020,276,69
03/10/2020,277,77
04/10/2020,278,17
05/10/2020,279,16
06/10/2020,280,59
07/10/2020,281,54
08/10/2020,282,73
09/10/2020,283,43
10/10/2020,284,69
11/10/2020,285,61
12/10/2020,286,58
13/10/2020,287,105
14/10/2020,288,147
15/10/2020,289,102
16/10/2020,290,114
17/10/2020,291,197
18/10/2020,292,101
19/10/2020,293,79
20/10/2020,294,252
21/10/2020,295,232
22/10/2020,296,345
23/10/2020,297,313
24/10/2020,298,277
25/10/2020,299,247
26/10/2020,300,185
27/10/2020,301,351
28/10/2020,302,383
29/10/2020,303,465
30/10/2020,304,489
31/10/2020,305,454
01/11/2020,306,259
02/11/2020,307,294
03/11/2020,308,489
04/11/2020,309,508
05/11/2020,310,592
06/11/2020,311,525
07/11/2020,312,429
08/11/2020,313,468
09/11/2020,314,358
10/11/2020,315,452
11/11/2020,316,484
12/11/2020,317,600
13/11/2020,318,578
14/11/2020,319,549
15/11/2020,320,213
16/11/2020,321,528
17/11/2020,322,515
18/11/2020,323,516
19/11/2020,324,519
20/11/2020,325,433
21/11/2020,326,440
22/11/2020,327,312
23/11/2020,328,295
24/11/2020,329,559
25/11/2020,330,323
26/11/2020,331,502
27/11/2020,332,343
28/11/2020,333,395
29/11/2020,334,252
30/11/2020,335,197
01/12/2020,336,376
02/12/2020,337,406
03/12/2020,338,436
04/12/2020,339,419
05/12/2020,340,323
06/12/2020,341,246
07/12/2020,342,220
08/12/2020,343,284
09/12/2020,344,352
10/12/2020,345,421
11/12/2020,346,429
12/12/2020,347,307
13/12/2020,348,296
14/12/2020,349,174
15/12/2020,350,375
16/12/2020,351,372
17/12/2020,352,349
18/12/2020,353,340
19/12/2020,354,386
20/12/2020,355,249
21/12/2020,356,223
22/12/2020,357,463
23/12/2020,358,443
24/12/2020,359,465
25/12/2020,360,306
26/12/2020,361,113
27/12/2020,362,132
28/12/2020,363,141
29/12/2020,364,349
30/12/2020,365,784
31/12/2020,366,592
01/01/2021,367,346
02/01/2021,368,170
03/01/2021,369,233
04/01/2021,370,243
05/01/2021,371,504
06/01/2021,372,402
07/01/2021,373,456
08/01/2021,374,384
09/01/2021,375,401
10/01/2021,376,254
11/01/2021,377,159
12/01/2021,378,340
13/01/2021,379,304
14/01/2021,380,323
15/01/2021,381,173
16/01/2021,382,199
17/01/2021,383,222
18/01/2021,384,187
19/01/2021,385,232
20/01/2021,386,284
21/01/2021,387,251
22/01/2021,388,256
23/01/2021,389,222
24/01/2021,390,157
25/01/2021,391,175
26/01/2021,392,234
27/01/2021,393,344
28/01/2021,394,199
29/01/2021,395,251
30/01/2021,396,260
31/01/2021,397,129
01/02/2021,398,209
02/02/2021,399,292
03/02/2021,400,286
04/02/2021,401,295
05/02/2021,402,228
06/02/2021,403,341
07/02/2021,404,179
08/02/2021,405,166
09/02/2021,406,392
10/02/2021,407,331
11/02/2021,408,378
12/02/2021,409,319
13/02/2021,410,324
14/02/2021,411,216
15/02/2021,412,270
16/02/2021,413,543
17/02/2021,414,449
18/02/2021,415,498
19/02/2021,416,543
20/02/2021,417,588
21/02/2021,418,359
22/02/2021,419,340
23/02/2021,420,446
24/02/2021,421,750
25/02/2021,422,416
26/02/2021,423,627
27/02/2021,424,1098
28/02/2021,425,504
01/03/2021,426,504
02/03/2021,427,698
03/03/2021,428,753
04/03/2021,429,828
05/03/2021,430,890
06/03/2021,431,1411
07/03/2021,432,431
08/03/2021,433,552
09/03/2021,434,1052
10/03/2021,435,822
11/03/2021,436,781
12/03/2021,437,807
13/03/2021,438,857
14/03/2021,439,184
15/03/2021,440,504
16/03/2021,441,685
17/03/2021,442,807
18/03/2021,443,629
19/03/2021,444,528
20/03/2021,445,540
21/03/2021,446,197
22/03/2021,447,381
23/03/2021,448,463
24/03/2021,449,504
25/03/2021,450,488
26/03/2021,451,435
27/03/2021,452,396
28/03/2021,453,184
29/03/2021,454,338
30/03/2021,455,393
31/03/2021,456,327
01/04/2021,457,363
02/04/2021,458,413
03/04/2021,459,329
04/04/2021,460,126
05/04/2021,461,160
06/04/2021,462,214
07/04/2021,463,265
08/04/2021,464,250
09/04/2021,465,244
10/04/2021,466,221
11/04/2021,467,113
12/04/2021,468,162
13/04/2021,469,300
14/04/2021,470,174
15/04/2021,471,174
16/04/2021,472,184
17/04/2021,473,154
18/04/2021,474,70
19/04/2021,475,141
20/04/2021,476,175
21/04/2021,477,197
22/04/2021,478,166
23/04/2021,479,209
24/04/2021,480,204
25/04/2021,481,141
26/04/2021,482,137
27/04/2021,483,215
28/04/2021,484,207
29/04/2021,485,178
30/04/2021,486,194
01/05/2021,487,122
02/05/2021,488,102
03/05/2021,489,132
04/05/2021,490,182
05/05/2021,491,154
06/05/2021,492,150
07/05/2021,493,147
08/05/2021,494,130
09/05/2021,495,54
10/05/2021,496,112
11/05/2021,497,102
12/05/2021,498,99
13/05/2021,499,114
14/05/2021,500,76
15/05/2021,501,67
16/05/2021,502,58
17/05/2021,503,51
18/05/2021,504,112
19/05/2021,505,83
20/05/2021,506,60
21/05/2021,507,57
22/05/2021,508,49
23/05/2021,509,35
24/05/2021,510,28
25/05/2021,511,65
26/05/2021,512,28
27/05/2021,513,42
28/05/2021,514,33
29/05/2021,515,32
30/05/2021,516,27
31/05/2021,517,28
01/06/2021,518,44
02/06/2021,519,11
03/06/2021,520,12
04/06/2021,521,50
05/06/2021,522,18
06/06/2021,523,19
07/06/2021,524,13
08/06/2021,525,35
09/06/2021,526,21
10/06/2021,527,10
11/06/2021,528,24
12/06/2021,529,6
13/06/2021,530,5
14/06/2021,531,13
15/06/2021,532,16
16/06/2021,533,14
17/06/2021,534,8
18/06/2021,535,9
19/06/2021,536,4
20/06/2021,537,18
21/06/2021,538,3
22/06/2021,539,8
23/06/2021,540,6
24/06/2021,541,2
25/06/2021,542,8
26/06/2021,543,12
27/06/2021,544,3
28/06/2021,545,4
29/06/2021,546,7
30/06/2021,547,7
01/07/2021,548,11
02/07/2021,549,15
03/07/2021,550,11
04/07/2021,551,1
05/07/2021,552,12
06/07/2021,553,22
07/07/2021,554,12
08/07/2021,555,16
09/07/2021,556,15
10/07/2021,557,14
11/07/2021,558,8
12/07/2021,559,35
13/07/2021,560,29
14/07/2021,561,43
15/07/2021,562,45
16/07/2021,563,62
17/07/2021,564,54
18/07/2021,565,37
19/07/2021,566,37
20/07/2021,567,82
21/07/2021,568,71
22/07/2021,569,122
23/07/2021,570,86
24/07/2021,571,76
25/07/2021,572,54
26/07/2021,573,93
27/07/2021,574,86
28/07/2021,575,141
